Rule 5:
If child ?b, then successor ?b.
John King of England has successor Henry III of England, John King of England has child Henry III of England The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Louis XV, Louis XV has child Louise of France 1737 1787 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Afonso III of Portugal, Afonso III of Portugal has child Sancha of Portugal born 1264 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Anne of Cyprus, Anne of Cyprus has child Margaret of Savoy Countess of Saint Pol The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis Duke of Savoy, Louis Duke of Savoy has child Margaret of Savoy Countess of Saint Pol The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Albert I of Germany, Albert I of Germany has child Albert II Duke of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elisabeth Farnese, Elisabeth Farnese has child Mariana Victoria of Spain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Landgravine Elisabeth Amalie of Hesse Darmstadt, Landgravine Elisabeth Amalie of Hesse Darmstadt has child Eleonore Magdalene of Neuburg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles VI of France, Charles VI of France has child Michelle of Valois The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Alfonso X of Castile, Alfonso X of Castile has child Berengaria of Castile Lady of Guadalajara The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louise  lisabeth of France, Louise  lisabeth of France has child Maria Luisa of Parma The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Josepha of Austria, Maria Josepha of Austria has child Maria Josepha of Saxony Dauphine of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Theresa, Maria Theresa has child Archduke Charles Joseph of Austria born 1745 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Francis I Holy Roman Emperor, Francis I Holy Roman Emperor has child Archduke Charles Joseph of Austria born 1745 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Anna of Bavaria born 1551, Maria Anna of Bavaria born 1551 has child Archduchess Catherine Renata of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John of Gaunt, John of Gaunt has child Philippa of Lancaster The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis the Stammerer has successor Louis III of France, Louis the Stammerer has child Louis III of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Maria Amalia of Naples and Sicily, Maria Amalia of Naples and Sicily has child Louise of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand III of Castile, Ferdinand III of Castile has child Sancho of Castile bishop The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Francis I Holy Roman Emperor, Francis I Holy Roman Emperor has child Archduchess Maria Johanna Gabriela of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Theresa, Maria Theresa has child Archduchess Maria Johanna Gabriela of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Hemma, Hemma has child Irmgard of Chiemsee The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria of Austria Holy Roman Empress, Maria of Austria Holy Roman Empress has child Maximilian III Archduke of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Dirk II Count of Holland, Dirk II Count of Holland has child Egbert archbishop of Trier The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John I of Portugal has successor Edward King of Portugal, John I of Portugal has child Edward King of Portugal The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Adela of Champagne, Adela of Champagne has child Philip II of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Adelaide of Aquitaine, Adelaide of Aquitaine has child Robert II of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Blanche of Castile, Blanche of Castile has child Charles I of Anjou The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis VIII of France, Louis VIII of France has child Charles I of Anjou The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry the Lion, Henry the Lion has child 10 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Hugh II Duke of Burgundy, Hugh II Duke of Burgundy has child Sibylla of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charlemagne, Charlemagne has child Pepin of Italy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis IX of France has successor Philip III of France, Louis IX of France has child Philip III of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Alpaida, Alpaida has child Childebrand I The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Pepin of Herstal, Pepin of Herstal has child Childebrand I The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of Navarre, Eleanor of Navarre has child Pierre de Foix le jeune The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Margaret of Provence, Margaret of Provence has child Margaret of France Duchess of Brabant The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elizabeth Woodville, Elizabeth Woodville has child Richard of Shrewsbury Duke of York The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry II of England, Henry II of England has child William Longesp e 3rd Earl of Salisbury The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis XV, Louis XV has child Victoire of France 1733 1799 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of Aquitaine, Eleanor of Aquitaine has child Henry the Young King The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Sancho I of Portugal, Sancho I of Portugal has child Berengaria of Portugal The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
James V of Scotland, James V of Scotland has child Robert Stewart 1st Earl of Orkney The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
William the Younger Duke of Brunswic L neburg, William the Younger Duke of Brunswic L neburg has child Margaret of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry VII of England, Henry VII of England has child Mary Tudor Queen of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elizabeth of York, Elizabeth of York has child Mary Tudor Queen of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Yaroslav the Wise, Yaroslav the Wise has child Vyacheslav Yaroslavich The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Margaret of Provence, Margaret of Provence has child Louis of France 1244 1260 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis IX of France, Louis IX of France has child Louis of France 1244 1260 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Margaret of Provence, Margaret of Provence has child John Tristan Count of Valois The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis IX of France, Louis IX of France has child John Tristan Count of Valois The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Theobald I of Navarre, Theobald I of Navarre has child Blanche of Navarre Duchess of Brittany The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Claude of France, Claude of France has child Charlotte of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Philip I of Castile, Philip I of Castile has child Ferdinand I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Joanna of Castile, Joanna of Castile has child Ferdinand I Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand I of the Two Sicilies, Ferdinand I of the Two Sicilies has child Maria Cristina of Naples and Sicily The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Odo I Duke of Burgundy, Odo I Duke of Burgundy has child Helie of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of Alburquerque, Eleanor of Alburquerque has child Peter of Aragon Count of Alburquerque The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand I of Aragon, Ferdinand I of Aragon has child Peter of Aragon Count of Alburquerque The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John I of Castile has successor Henry III of Castile, John I of Castile has child Henry III of Castile The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Joanna of Castile has successor Charles V Holy Roman Emperor, Joanna of Castile has child Charles V Holy Roman Emperor The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Albert II Duke of Austria, Albert II Duke of Austria has child Frederick III Duke of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ermentrude of Orl ans, Ermentrude of Orl ans has child Judith of Flanders The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John II of Aragon, John II of Aragon has child Juan de Arag n The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
William the Younger Duke of Brunswic L neburg, William the Younger Duke of Brunswic L neburg has child Dorothea of Brunswic L neburg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
George II of Great Britain, George II of Great Britain has child Prince George William of Great Britain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Conrad I of Burgundy has successor Rudolph III of Burgundy, Conrad I of Burgundy has child Rudolph III of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Matilda of France, Matilda of France has child Rudolph III of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis XVI, Louis XVI has child Marie Th r se of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Christine of Saxony, Christine of Saxony has child Christine of Hesse The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Landgravine Elisabeth Amalie of Hesse Darmstadt, Landgravine Elisabeth Amalie of Hesse Darmstadt has child Francis Louis of Palatinate Neuburg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Benedicta Henrietta of the Palatinate, Benedicta Henrietta of the Palatinate has child Wilhelmine Amalie of Brunswick The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria of Aragon Queen of Portugal, Maria of Aragon Queen of Portugal has child Isabella of Portugal The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Victor Amadeus I Duke of Savoy, Victor Amadeus I Duke of Savoy has child Princess Luisa Cristina of Savoy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Edward I of England, Edward I of England has child Edmund of Woodstock 1st Earl of Kent The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Mary of Guise, Mary of Guise has child James Duke of Rothesay born 1540 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of Navarre, Eleanor of Navarre has child Margaret of Foix The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
 thelwulf King of Wessex,  thelwulf King of Wessex has child  thelswith The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Edward I of England, Edward I of England has child Thomas of Brotherton 1st Earl of Norfolk The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ernest Augustus Elector of Hanover, Ernest Augustus Elector of Hanover has child Sophia Charlotte of Hanover The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John of Bohemia, John of Bohemia has child John Henry Margrave of Moravia The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis XV, Louis XV has child Louise  lisabeth of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles Emmanuel III of Sardinia, Charles Emmanuel III of Sardinia has child Prince Vittorio Amedeo Teodoro Duke of Aosta The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Fran oise Marie de Bourbon, Fran oise Marie de Bourbon has child Louis Duke of Orl ans 1703 1752 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Philippe II Duke of Orl ans has successor Louis Duke of Orl ans 1703 1752, Philippe II Duke of Orl ans has child Louis Duke of Orl ans 1703 1752 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Landgravine Elisabeth Amalie of Hesse Darmstadt, Landgravine Elisabeth Amalie of Hesse Darmstadt has child Johann Wilhelm Elector Palatine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis IV Holy Roman Emperor, Louis IV Holy Roman Emperor has child William I Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles Duke of Vend me, Charles Duke of Vend me has child Francis Count of Enghien The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elisabeth of Meissen, Elisabeth of Meissen has child John III Burgrave of Nuremberg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Philip III of Navarre, Philip III of Navarre has child Charles II of Navarre The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elizabeth Woodville, Elizabeth Woodville has child Cecily of York The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maximilian I Holy Roman Emperor, Maximilian I Holy Roman Emperor has child Philip I of Castile The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Adelaide of Aquitaine, Adelaide of Aquitaine has child Hedwig of France Countess of Mons The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ernest Augustus Elector of Hanover has successor George I of Great Britain, Ernest Augustus Elector of Hanover has child George I of Great Britain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Yolande of Aragon, Yolande of Aragon has child Louis III of Anjou The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Leopold II Holy Roman Emperor, Leopold II Holy Roman Emperor has child Archduke Rainer Joseph of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Luisa of Spain, Maria Luisa of Spain has child Archduke Rainer Joseph of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John King of England, John King of England has child Joan of England Queen of Scotland The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Yolanda Latin Empress, Yolanda Latin Empress has child Margaret Marchioness of Namur The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Bona of Savoy, Bona of Savoy has child Gian Galeazzo Sforza The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Margaret of Bavaria, Margaret of Bavaria has child Anne of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Amalia of Saxony, Maria Amalia of Saxony has child Infante Philip Duke of Calabria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Bonne of Luxembourg, Bonne of Luxembourg has child Louis I of Anjou The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Letizia Bonaparte, Letizia Bonaparte has child Elisa Bonaparte The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Vladimir the Great, Vladimir the Great has child Boris and Gleb The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Sancho I of Portugal, Sancho I of Portugal has child Ferdinand Count of Flanders The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Jacquetta of Luxembourg, Jacquetta of Luxembourg has child John Woodville The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles VI of France, Charles VI of France has child Marie of Valois Prioress of Poissy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of Aquitaine, Eleanor of Aquitaine has child Matilda of England Duchess of Saxony The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has child Archduchess Magdalena of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Rudolf I of Germany, Rudolf I of Germany has child Rudolf II Duke of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Gertrude of Hohenberg, Gertrude of Hohenberg has child Rudolf II Duke of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis XII, Louis XII has child Ren e of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Anne of Brittany, Anne of Brittany has child Ren e of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Peter I of Portugal, Peter I of Portugal has child Denis Lord of Cifuentes The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
George III, George III has child Princess Augusta Sophia of the United Kingdom The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henrietta Maria, Henrietta Maria has child Elizabeth Stuart daughter of Charles I The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elizabeth of York, Elizabeth of York has child Edmund Tudor Duke of Somerset The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry VII of England, Henry VII of England has child Edmund Tudor Duke of Somerset The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Luisa of Spain, Maria Luisa of Spain has child Archduchess Maria Clementina of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Albert I of Germany, Albert I of Germany has child Anne of Austria Margravine of Brandenburg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Vladimir the Great, Vladimir the Great has child Sudislav The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Victor Amadeus I Duke of Savoy has successor Francis Hyacinth Duke of Savoy, Victor Amadeus I Duke of Savoy has child Francis Hyacinth Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
John of Montfort has successor John IV Duke of Brittany, John of Montfort has child John IV Duke of Brittany The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Eleanor of Aquitaine, Eleanor of Aquitaine has child Geoffrey II Duke of Brittany The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry II of England, Henry II of England has child Geoffrey II Duke of Brittany The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Marie Eleonore of Cleves, Marie Eleonore of Cleves has child Duchess Sophie of Prussia The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Leopold Duke of Lorraine, Leopold Duke of Lorraine has child Prince Charles Alexander of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elizabeth the Cuman, Elizabeth the Cuman has child Catherine of Hungary Queen of Serbia The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Ferdinand I Holy Roman Emperor, Ferdinand I Holy Roman Emperor has child Archduchess Eleanor of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Robert Count of Clermont, Robert Count of Clermont has child Louis I Duke of Bourbon The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Catherine de Medici, Catherine de Medici has child Henry III of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Henry II of France, Henry II of France has child Henry III of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Princess Augusta of Saxe Gotha, Princess Augusta of Saxe Gotha has child Prince Frederick of Great Britain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Alfonso II of Aragon, Alfonso II of Aragon has child Eleanor of Aragon Countess of Toulouse The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
James II of Scotland, James II of Scotland has child John Stewart Earl of Mar died 1479 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Francis I of France, Francis I of France has child Francis III Duke of Brittany The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Luisa of Spain, Maria Luisa of Spain has child Archduke Louis of Austria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis Dauphin of France son of Louis XV, Louis Dauphin of France son of Louis XV has child Louis Duke of Burgundy 1751 1761 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Josepha of Saxony Dauphine of France, Maria Josepha of Saxony Dauphine of France has child Louis Duke of Burgundy 1751 1761 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John of Bohemia, John of Bohemia has child Nicolaus of Luxemburg The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Countess Palatine Caroline of Zweibr cken, Countess Palatine Caroline of Zweibr cken has child Princess Caroline of Hesse Darmstadt The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Joanna of Castile, Joanna of Castile has child Mary of Hungary governor of the Netherlands The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Philip I of Castile, Philip I of Castile has child Mary of Hungary governor of the Netherlands The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis XV, Louis XV has child Sophie of France 1734 1782 The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Agnes of Burgundy Duchess of Bourbon, Agnes of Burgundy Duchess of Bourbon has child John II Duke of Bourbon The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Bonne of Luxembourg, Bonne of Luxembourg has child Joan of Valois Queen of Navarre The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John II of France, John II of France has child Joan of Valois Queen of Navarre The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Mary of Hungary Queen of Naples, Mary of Hungary Queen of Naples has child Raymond Berengar of Andria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis the Pious has successor Louis the German, Louis the Pious has child Louis the German The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Maria of Aragon Queen of Portugal, Maria of Aragon Queen of Portugal has child John III of Portugal The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Louis Dauphin of France son of Louis XIV, Louis Dauphin of France son of Louis XIV has child Philip V of Spain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Albert I of Germany, Albert I of Germany has child Elisabeth of Austria Duchess of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Sancho I of Portugal, Sancho I of Portugal has child Theresa of Portugal Queen of Le n The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Amalia of Naples and Sicily, Maria Amalia of Naples and Sicily has child Charles d Orl ans Duke of Penthi vre The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Princess Augusta of Saxe Gotha, Princess Augusta of Saxe Gotha has child Prince Edward Duke of York and Albany The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Philip IV of Spain, Philip IV of Spain has child Margaret Theresa of Spain The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Maria Theresa of Naples and Sicily, Maria Theresa of Naples and Sicily has child Marie Louise Duchess of Parma The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Francis II Holy Roman Emperor, Francis II Holy Roman Emperor has child Marie Louise Duchess of Parma The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Hedwig of Saxony, Hedwig of Saxony has child Otto Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Elizabeth Woodville, Elizabeth Woodville has child Edward V of England The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Saint Margaret of Scotland, Saint Margaret of Scotland has child David I of Scotland The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
James I of Aragon, James I of Aragon has child Isabella of Aragon Queen of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Violant of Hungary, Violant of Hungary has child Isabella of Aragon Queen of France The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Marie Eleonore of Cleves, Marie Eleonore of Cleves has child Marie of Prussia Margravine of Brandenburg Bayreuth The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John of Gaunt, John of Gaunt has child Henry Beaufort The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Charles Emmanuel I Duke of Savoy, Charles Emmanuel I Duke of Savoy has child Margaret of Savoy Vicereine of Portugal The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of Navarre, Eleanor of Navarre has child John of Foix Viscount of Narbonne The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Edward King of Portugal, Edward King of Portugal has child Ferdinand Duke of Viseu The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Eleanor of Aragon Queen of Portugal, Eleanor of Aragon Queen of Portugal has child Ferdinand Duke of Viseu The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Sviatoslav I has successor Vladimir the Great, Sviatoslav I has child Vladimir the Great The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
Joan II Countess of Burgundy, Joan II Countess of Burgundy has child Margaret I Countess of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
Rudolf I of Germany, Rudolf I of Germany has child Otto III Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: no
John II of Aragon has successor Ferdinand II of Aragon, John II of Aragon has child Ferdinand II of Aragon The path is classified as NEGATIVE (PCA Confidence 0.1969 < threshold 0.5) Answer: yes
