Rule 2:
If father ?a, then successor ?b.
William X Duke of Aquitaine has successor Eleanor of Aquitaine, Eleanor of Aquitaine has father William X Duke of Aquitaine The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Ferdinand Philippe Duke of Orl ans, Prince Philippe Count of Paris has father Ferdinand Philippe Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis I of Anjou has successor Louis II of Anjou, Louis II of Anjou has father Louis I of Anjou The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Casimir IV Jagiellon, Barbara Jagiellon has father Casimir IV Jagiellon The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Adolph I Duke of Cleves, Marie of Cleves Duchess of Orl ans has father Adolph I Duke of Cleves The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Francesco I de Medici Grand Duke of Tuscany, Marie de Medici has father Francesco I de Medici Grand Duke of Tuscany The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis II of Anjou, Marie of Anjou has father Louis II of Anjou The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Philip the Bold has successor John the Fearless, John the Fearless has father Philip the Bold The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Boso Margrave of Tuscany, Willa of Tuscany has father Boso Margrave of Tuscany The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Rudolph II of Burgundy, Conrad I of Burgundy has father Rudolph II of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Adolphus Frederick II Duke of Mecklenburg Strelitz, Duke Charles Louis Frederick of Mecklenburg has father Adolphus Frederick II Duke of Mecklenburg Strelitz The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Hugh of Italy has successor Lothair II of Italy, Lothair II of Italy has father Hugh of Italy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
John King of England has successor Henry III of England, Henry III of England has father John King of England The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Charles II Duke of Lorraine, Isabella Duchess of Lorraine has father Charles II Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Dirk I Count of Holland has successor Dirk II Count of Holland, Dirk II Count of Holland has father Dirk I Count of Holland The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Victor Emmanuel I of Sardinia, Maria Beatrice of Savoy has father Victor Emmanuel I of Sardinia The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Alfred the Great has successor Edward the Elder, Edward the Elder has father Alfred the Great The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Geoffrey II Count of G tinais, Fulk IV Count of Anjou has father Geoffrey II Count of G tinais The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis Bonaparte, Napoleon III has father Louis Bonaparte The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Albert IV Count of Habsburg, Rudolf I of Germany has father Albert IV Count of Habsburg The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Francis II Duke of Lorraine, Nicholas Francis Duke of Lorraine has father Francis II Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Henry II of Castile has successor John I of Castile, John I of Castile has father Henry II of Castile The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Hugh II Duke of Burgundy, Odo II Duke of Burgundy has father Hugh II Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Henry III of England, Edward I of England has father Henry III of England The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Charles V Duke of Lorraine, Leopold Duke of Lorraine has father Charles V Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Berthold Duke of Merania, Agnes of Merania has father Berthold Duke of Merania The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Edward I of England, Edward II of England has father Edward I of England The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis IV of France, Lothair of France has father Louis IV of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis IV of France, Matilda of France has father Louis IV of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Ferdinand I of the Two Sicilies, Maria Theresa of Naples and Sicily has father Ferdinand I of the Two Sicilies The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Charles Emmanuel III of Sardinia has successor Victor Amadeus III of Sardinia, Victor Amadeus III of Sardinia has father Charles Emmanuel III of Sardinia The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Hugh Capet, Robert II of France has father Hugh Capet The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Philip the Good, Charles the Bold has father Philip the Good The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
James II of Scotland, James III of Scotland has father James II of Scotland The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Bartholomew de L Isle Bouchard, Dangereuse de l Isle Bouchard has father Bartholomew de L Isle Bouchard The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Louis the Pious has successor Louis the German, Louis the German has father Louis the Pious The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Louis the Pious, Charles the Bald has father Louis the Pious The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
George I of Great Britain has successor George II of Great Britain, George II of Great Britain has father George I of Great Britain The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Louis XII, Claude of France has father Louis XII The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
 thelwulf King of Wessex, Alfred the Great has father  thelwulf King of Wessex The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Robert I Count of Dreux has successor Robert II Count of Dreux, Robert II Count of Dreux has father Robert I Count of Dreux The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Malcolm III of Scotland, Matilda of Scotland has father Malcolm III of Scotland The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Ercole III d Este Duke of Modena, Maria Beatrice d Este Duchess of Massa has father Ercole III d Este Duke of Modena The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
George Duke of Saxony, Christine of Saxony has father George Duke of Saxony The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Matthias II Duke of Lorraine, Frederick III Duke of Lorraine has father Matthias II Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Ealhmund of Kent, Ecgberht King of Wessex has father Ealhmund of Kent The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Charles Duke of Orl ans has successor Louis XII, Louis XII has father Charles Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Charles I Gonzaga Duke of Mantua, Anne Gonzaga has father Charles I Gonzaga Duke of Mantua The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Charles Prince of Anhalt Zerbst, Princess Magdalena Augusta of Anhalt Zerbst has father Charles Prince of Anhalt Zerbst The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Philip II of France has successor Louis VIII of France, Louis VIII of France has father Philip II of France The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Henry V of England has successor Henry VI of England, Henry VI of England has father Henry V of England The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Henry X Duke of Bavaria, Henry the Lion has father Henry X Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
John I of Portugal has successor Edward King of Portugal, Edward King of Portugal has father John I of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Henry IV of England has successor Henry V of England, Henry V of England has father Henry IV of England The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Charles III of Spain, Ferdinand I of the Two Sicilies has father Charles III of Spain The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Charles III Duke of Savoy, Emmanuel Philibert Duke of Savoy has father Charles III Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
John George I Elector of Saxony, Sophia Eleonore of Saxony has father John George I Elector of Saxony The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Sancho I of Portugal has successor Afonso II of Portugal, Afonso II of Portugal has father Sancho I of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: yes
Henry I of England, Empress Matilda has father Henry I of England The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Afonso IV of Portugal, Peter I of Portugal has father Afonso IV of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Albert I Duke of Bavaria, Margaret of Bavaria has father Albert I Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no
Henry III Duke of Brabant, Marie of Brabant Queen of France has father Henry III Duke of Brabant The path is classified as NEGATIVE (PCA Confidence 0.4904 < threshold 0.5) Answer: no

Rule Statistics:
- PCA Confidence: 0.4904
- Rule Classification: NEGATIVE (PCA Confidence 0.4904 < threshold 0.5)
- Standard Confidence: 0.1818
- Head Coverage: 0.2881
