Rule 22:
If father ?b, then parent ?b.
Marie Ad la de of Savoy, Marie Ad la de of Savoy has father Victor Amadeus II of Sardinia The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Charles Emmanuel III of Sardinia, Charles Emmanuel III of Sardinia has father Victor Amadeus II of Sardinia The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Duchess Helene of Mecklenburg Schwerin, Duchess Helene of Mecklenburg Schwerin has father Frederick Louis Hereditary Grand Duke of Mecklenburg Schwerin The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Berengar II of Italy has parent Adalbert I of Ivrea, Berengar II of Italy has father Adalbert I of Ivrea The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Alfonso VIII of Castile has parent Sancho III of Castile, Alfonso VIII of Castile has father Sancho III of Castile The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Joan I Countess of Auvergne has parent William XII Count of Auvergne, Joan I Countess of Auvergne has father William XII Count of Auvergne The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Saint Margaret of Scotland has parent Edward the Exile, Saint Margaret of Scotland has father Edward the Exile The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
John II of France has parent Philip VI of France, John II of France has father Philip VI of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Albert II Duke of Austria has parent Albert I of Germany, Albert II Duke of Austria has father Albert I of Germany The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Jacquetta of Luxembourg has parent Peter I Count of Saint Pol, Jacquetta of Luxembourg has father Peter I Count of Saint Pol The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Peter II of Aragon has parent Alfonso II of Aragon, Peter II of Aragon has father Alfonso II of Aragon The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louis XI has parent Charles VII of France, Louis XI has father Charles VII of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Bertha of Holland has parent Floris I Count of Holland, Bertha of Holland has father Floris I Count of Holland The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Violant of Bar, Violant of Bar has father Robert Duke of Bar The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Francis I Duke of Lorraine has parent Antoine Duke of Lorraine, Francis I Duke of Lorraine has father Antoine Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Nicolas Duke of Merc ur has parent Antoine Duke of Lorraine, Nicolas Duke of Merc ur has father Antoine Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louise Marie Ad la de de Bourbon Duchess of Orl ans has parent Louis Jean Marie de Bourbon Duke of Penthi vre, Louise Marie Ad la de de Bourbon Duchess of Orl ans has father Louis Jean Marie de Bourbon Duke of Penthi vre The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Philip II of France has parent Louis VII of France, Philip II of France has father Louis VII of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Alys of France Countess of Vexin has parent Louis VII of France, Alys of France Countess of Vexin has father Louis VII of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Elizabeth of Luxembourg has parent Sigismund Holy Roman Emperor, Elizabeth of Luxembourg has father Sigismund Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Elisabeth of Meissen has parent Frederick II Margrave of Meissen, Elisabeth of Meissen has father Frederick II Margrave of Meissen The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Isabella of Hainault has parent Baldwin V Count of Hainaut, Isabella of Hainault has father Baldwin V Count of Hainaut The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Bonne of Luxembourg has parent John of Bohemia, Bonne of Luxembourg has father John of Bohemia The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Isabella of Aragon Queen of France, Isabella of Aragon Queen of France has father James I of Aragon The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
James I of Scotland has parent Robert III of Scotland, James I of Scotland has father Robert III of Scotland The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Margaret of Austria Queen of Spain has parent Charles II Archduke of Austria, Margaret of Austria Queen of Spain has father Charles II Archduke of Austria The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Maria of Austria Holy Roman Empress, Maria of Austria Holy Roman Empress has father Charles V Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Philip II of Spain has parent Charles V Holy Roman Emperor, Philip II of Spain has father Charles V Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Elisabeth Farnese has parent Odoardo Farnese Hereditary Prince of Parma, Elisabeth Farnese has father Odoardo Farnese Hereditary Prince of Parma The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Henry Count of Portugal has parent Henry son of Robert I of Burgundy, Henry Count of Portugal has father Henry son of Robert I of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Odo I Duke of Burgundy, Odo I Duke of Burgundy has father Henry son of Robert I of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Gerard Duke of Lorraine has parent Gerard de Bouzonville, Gerard Duke of Lorraine has father Gerard de Bouzonville The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Anne of Bohemia and Hungary has parent Vladislaus II of Hungary, Anne of Bohemia and Hungary has father Vladislaus II of Hungary The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Pepin the Short has parent Charles Martel, Pepin the Short has father Charles Martel The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Ferdinand III of Castile, Ferdinand III of Castile has father Alfonso IX of Le n The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Joanna of Bourbon has parent Peter I Duke of Bourbon, Joanna of Bourbon has father Peter I Duke of Bourbon The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Francis II Duke of Lorraine, Francis II Duke of Lorraine has father Charles III Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
George I of Great Britain has parent Ernest Augustus Elector of Hanover, George I of Great Britain has father Ernest Augustus Elector of Hanover The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louis I Duke of Bourbon has parent Robert Count of Clermont, Louis I Duke of Bourbon has father Robert Count of Clermont The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
William X Duke of Aquitaine has parent William IX Duke of Aquitaine, William X Duke of Aquitaine has father William IX Duke of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Henry IV of France, Henry IV of France has father Antoine of Navarre The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Elizabeth Woodville has parent Richard Woodville 1st Earl Rivers, Elizabeth Woodville has father Richard Woodville 1st Earl Rivers The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Maria Anna of Bavaria born 1551 has parent Albert V Duke of Bavaria, Maria Anna of Bavaria born 1551 has father Albert V Duke of Bavaria The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
John I Duke of Brittany has parent Peter I Duke of Brittany, John I Duke of Brittany has father Peter I Duke of Brittany The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Anne of Foix Candale has parent Gaston de Foix Count of Candale, Anne of Foix Candale has father Gaston de Foix Count of Candale The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Countess Palatine Dorothea Sophie of Neuburg has parent Philip William Elector Palatine, Countess Palatine Dorothea Sophie of Neuburg has father Philip William Elector Palatine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
William the Younger Duke of Brunswic L neburg has parent Ernest I Duke of Brunswic L neburg, William the Younger Duke of Brunswic L neburg has father Ernest I Duke of Brunswic L neburg The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Maria Josepha of Austria has parent Joseph I Holy Roman Emperor, Maria Josepha of Austria has father Joseph I Holy Roman Emperor The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Maria of Aragon Queen of Portugal, Maria of Aragon Queen of Portugal has father Ferdinand II of Aragon The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Francis I Holy Roman Emperor has parent Leopold Duke of Lorraine, Francis I Holy Roman Emperor has father Leopold Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Adolphus Frederick II Duke of Mecklenburg Strelitz has parent Adolphus Frederick I Duke of Mecklenburg Schwerin, Adolphus Frederick II Duke of Mecklenburg Strelitz has father Adolphus Frederick I Duke of Mecklenburg Schwerin The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Anna Maria of Mecklenburg Schwerin has parent Adolphus Frederick I Duke of Mecklenburg Schwerin, Anna Maria of Mecklenburg Schwerin has father Adolphus Frederick I Duke of Mecklenburg Schwerin The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louis IV Holy Roman Emperor has parent Louis II Duke of Bavaria, Louis IV Holy Roman Emperor has father Louis II Duke of Bavaria The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Eleanor of Aquitaine has parent William X Duke of Aquitaine, Eleanor of Aquitaine has father William X Duke of Aquitaine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Prince Philippe Count of Paris, Prince Philippe Count of Paris has father Ferdinand Philippe Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Louis II of Anjou has parent Louis I of Anjou, Louis II of Anjou has father Louis I of Anjou The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Barbara Jagiellon has parent Casimir IV Jagiellon, Barbara Jagiellon has father Casimir IV Jagiellon The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Marie of Cleves Duchess of Orl ans has parent Adolph I Duke of Cleves, Marie of Cleves Duchess of Orl ans has father Adolph I Duke of Cleves The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Marie de Medici, Marie de Medici has father Francesco I de Medici Grand Duke of Tuscany The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Marie of Anjou has parent Louis II of Anjou, Marie of Anjou has father Louis II of Anjou The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
John the Fearless has parent Philip the Bold, John the Fearless has father Philip the Bold The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Willa of Tuscany, Willa of Tuscany has father Boso Margrave of Tuscany The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Conrad I of Burgundy has parent Rudolph II of Burgundy, Conrad I of Burgundy has father Rudolph II of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Duke Charles Louis Frederick of Mecklenburg has parent Adolphus Frederick II Duke of Mecklenburg Strelitz, Duke Charles Louis Frederick of Mecklenburg has father Adolphus Frederick II Duke of Mecklenburg Strelitz The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Lothair II of Italy, Lothair II of Italy has father Hugh of Italy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Henry III of England, Henry III of England has father John King of England The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Isabella Duchess of Lorraine has parent Charles II Duke of Lorraine, Isabella Duchess of Lorraine has father Charles II Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Dirk II Count of Holland, Dirk II Count of Holland has father Dirk I Count of Holland The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Maria Beatrice of Savoy has parent Victor Emmanuel I of Sardinia, Maria Beatrice of Savoy has father Victor Emmanuel I of Sardinia The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Edward the Elder has parent Alfred the Great, Edward the Elder has father Alfred the Great The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Fulk IV Count of Anjou, Fulk IV Count of Anjou has father Geoffrey II Count of G tinais The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Napoleon III has parent Louis Bonaparte, Napoleon III has father Louis Bonaparte The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Rudolf I of Germany has parent Albert IV Count of Habsburg, Rudolf I of Germany has father Albert IV Count of Habsburg The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Nicholas Francis Duke of Lorraine has parent Francis II Duke of Lorraine, Nicholas Francis Duke of Lorraine has father Francis II Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
John I of Castile has parent Henry II of Castile, John I of Castile has father Henry II of Castile The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Odo II Duke of Burgundy has parent Hugh II Duke of Burgundy, Odo II Duke of Burgundy has father Hugh II Duke of Burgundy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Edward I of England has parent Henry III of England, Edward I of England has father Henry III of England The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Leopold Duke of Lorraine, Leopold Duke of Lorraine has father Charles V Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Agnes of Merania has parent Berthold Duke of Merania, Agnes of Merania has father Berthold Duke of Merania The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Edward II of England, Edward II of England has father Edward I of England The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Lothair of France has parent Louis IV of France, Lothair of France has father Louis IV of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Matilda of France has parent Louis IV of France, Matilda of France has father Louis IV of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Maria Theresa of Naples and Sicily has parent Ferdinand I of the Two Sicilies, Maria Theresa of Naples and Sicily has father Ferdinand I of the Two Sicilies The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Victor Amadeus III of Sardinia has parent Charles Emmanuel III of Sardinia, Victor Amadeus III of Sardinia has father Charles Emmanuel III of Sardinia The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Robert II of France, Robert II of France has father Hugh Capet The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Charles the Bold, Charles the Bold has father Philip the Good The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
James III of Scotland, James III of Scotland has father James II of Scotland The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Dangereuse de l Isle Bouchard, Dangereuse de l Isle Bouchard has father Bartholomew de L Isle Bouchard The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Louis the German has parent Louis the Pious, Louis the German has father Louis the Pious The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Charles the Bald has parent Louis the Pious, Charles the Bald has father Louis the Pious The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
George II of Great Britain has parent George I of Great Britain, George II of Great Britain has father George I of Great Britain The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Claude of France has parent Louis XII, Claude of France has father Louis XII The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Alfred the Great has parent  thelwulf King of Wessex, Alfred the Great has father  thelwulf King of Wessex The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Robert II Count of Dreux has parent Robert I Count of Dreux, Robert II Count of Dreux has father Robert I Count of Dreux The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Matilda of Scotland, Matilda of Scotland has father Malcolm III of Scotland The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Maria Beatrice d Este Duchess of Massa, Maria Beatrice d Este Duchess of Massa has father Ercole III d Este Duke of Modena The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Christine of Saxony has parent George Duke of Saxony, Christine of Saxony has father George Duke of Saxony The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Frederick III Duke of Lorraine has parent Matthias II Duke of Lorraine, Frederick III Duke of Lorraine has father Matthias II Duke of Lorraine The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Ecgberht King of Wessex has parent Ealhmund of Kent, Ecgberht King of Wessex has father Ealhmund of Kent The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louis XII has parent Charles Duke of Orl ans, Louis XII has father Charles Duke of Orl ans The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Anne Gonzaga has parent Charles I Gonzaga Duke of Mantua, Anne Gonzaga has father Charles I Gonzaga Duke of Mantua The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Princess Magdalena Augusta of Anhalt Zerbst has parent Charles Prince of Anhalt Zerbst, Princess Magdalena Augusta of Anhalt Zerbst has father Charles Prince of Anhalt Zerbst The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Louis VIII of France has parent Philip II of France, Louis VIII of France has father Philip II of France The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Henry VI of England has parent Henry V of England, Henry VI of England has father Henry V of England The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Henry the Lion, Henry the Lion has father Henry X Duke of Bavaria The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Edward King of Portugal, Edward King of Portugal has father John I of Portugal The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Henry V of England has parent Henry IV of England, Henry V of England has father Henry IV of England The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Ferdinand I of the Two Sicilies, Ferdinand I of the Two Sicilies has father Charles III of Spain The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Emmanuel Philibert Duke of Savoy has parent Charles III Duke of Savoy, Emmanuel Philibert Duke of Savoy has father Charles III Duke of Savoy The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Sophia Eleonore of Saxony has parent John George I Elector of Saxony, Sophia Eleonore of Saxony has father John George I Elector of Saxony The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Afonso II of Portugal has parent Sancho I of Portugal, Afonso II of Portugal has father Sancho I of Portugal The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Empress Matilda, Empress Matilda has father Henry I of England The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Peter I of Portugal has parent Afonso IV of Portugal, Peter I of Portugal has father Afonso IV of Portugal The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes
Margaret of Bavaria, Margaret of Bavaria has father Albert I Duke of Bavaria The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: no
Marie of Brabant Queen of France has parent Henry III Duke of Brabant, Marie of Brabant Queen of France has father Henry III Duke of Brabant The path is classified as POSITIVE (PCA Confidence 0.9289 >= threshold 0.5) Answer: yes

Rule Statistics:
- PCA Confidence: 0.9289
- Rule Classification: POSITIVE (PCA Confidence 0.9289 >= threshold 0.5)
- Standard Confidence: 0.7683
- Head Coverage: 0.4556
