Rule 10:
If father ?b, then predecessor ?b.
Francis I Holy Roman Emperor, Francis I Holy Roman Emperor has father Leopold Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Adolphus Frederick II Duke of Mecklenburg Strelitz, Adolphus Frederick II Duke of Mecklenburg Strelitz has father Adolphus Frederick I Duke of Mecklenburg Schwerin The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Anna Maria of Mecklenburg Schwerin, Anna Maria of Mecklenburg Schwerin has father Adolphus Frederick I Duke of Mecklenburg Schwerin The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Louis IV Holy Roman Emperor, Louis IV Holy Roman Emperor has father Louis II Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Eleanor of Aquitaine, Eleanor of Aquitaine has father William X Duke of Aquitaine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Prince Philippe Count of Paris has predecessor Ferdinand Philippe Duke of Orl ans, Prince Philippe Count of Paris has father Ferdinand Philippe Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Louis II of Anjou has predecessor Louis I of Anjou, Louis II of Anjou has father Louis I of Anjou The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Barbara Jagiellon, Barbara Jagiellon has father Casimir IV Jagiellon The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Marie of Cleves Duchess of Orl ans, Marie of Cleves Duchess of Orl ans has father Adolph I Duke of Cleves The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Marie de Medici, Marie de Medici has father Francesco I de Medici Grand Duke of Tuscany The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Marie of Anjou, Marie of Anjou has father Louis II of Anjou The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
John the Fearless has predecessor Philip the Bold, John the Fearless has father Philip the Bold The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Willa of Tuscany, Willa of Tuscany has father Boso Margrave of Tuscany The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Conrad I of Burgundy has predecessor Rudolph II of Burgundy, Conrad I of Burgundy has father Rudolph II of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Duke Charles Louis Frederick of Mecklenburg, Duke Charles Louis Frederick of Mecklenburg has father Adolphus Frederick II Duke of Mecklenburg Strelitz The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Lothair II of Italy has predecessor Hugh of Italy, Lothair II of Italy has father Hugh of Italy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Henry III of England has predecessor John King of England, Henry III of England has father John King of England The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Isabella Duchess of Lorraine, Isabella Duchess of Lorraine has father Charles II Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Dirk II Count of Holland, Dirk II Count of Holland has father Dirk I Count of Holland The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Maria Beatrice of Savoy, Maria Beatrice of Savoy has father Victor Emmanuel I of Sardinia The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Edward the Elder has predecessor Alfred the Great, Edward the Elder has father Alfred the Great The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Fulk IV Count of Anjou, Fulk IV Count of Anjou has father Geoffrey II Count of G tinais The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Napoleon III, Napoleon III has father Louis Bonaparte The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Rudolf I of Germany, Rudolf I of Germany has father Albert IV Count of Habsburg The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Nicholas Francis Duke of Lorraine, Nicholas Francis Duke of Lorraine has father Francis II Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
John I of Castile, John I of Castile has father Henry II of Castile The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Odo II Duke of Burgundy has predecessor Hugh II Duke of Burgundy, Odo II Duke of Burgundy has father Hugh II Duke of Burgundy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Edward I of England has predecessor Henry III of England, Edward I of England has father Henry III of England The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Leopold Duke of Lorraine, Leopold Duke of Lorraine has father Charles V Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Agnes of Merania, Agnes of Merania has father Berthold Duke of Merania The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Edward II of England, Edward II of England has father Edward I of England The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Lothair of France has predecessor Louis IV of France, Lothair of France has father Louis IV of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Matilda of France, Matilda of France has father Louis IV of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Maria Theresa of Naples and Sicily, Maria Theresa of Naples and Sicily has father Ferdinand I of the Two Sicilies The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Victor Amadeus III of Sardinia has predecessor Charles Emmanuel III of Sardinia, Victor Amadeus III of Sardinia has father Charles Emmanuel III of Sardinia The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Robert II of France, Robert II of France has father Hugh Capet The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Charles the Bold has predecessor Philip the Good, Charles the Bold has father Philip the Good The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
James III of Scotland has predecessor James II of Scotland, James III of Scotland has father James II of Scotland The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Dangereuse de l Isle Bouchard, Dangereuse de l Isle Bouchard has father Bartholomew de L Isle Bouchard The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Louis the German has predecessor Louis the Pious, Louis the German has father Louis the Pious The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Charles the Bald, Charles the Bald has father Louis the Pious The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
George II of Great Britain has predecessor George I of Great Britain, George II of Great Britain has father George I of Great Britain The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Claude of France, Claude of France has father Louis XII The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Alfred the Great, Alfred the Great has father  thelwulf King of Wessex The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Robert II Count of Dreux, Robert II Count of Dreux has father Robert I Count of Dreux The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Matilda of Scotland, Matilda of Scotland has father Malcolm III of Scotland The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Maria Beatrice d Este Duchess of Massa, Maria Beatrice d Este Duchess of Massa has father Ercole III d Este Duke of Modena The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Christine of Saxony, Christine of Saxony has father George Duke of Saxony The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Frederick III Duke of Lorraine has predecessor Matthias II Duke of Lorraine, Frederick III Duke of Lorraine has father Matthias II Duke of Lorraine The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Ecgberht King of Wessex, Ecgberht King of Wessex has father Ealhmund of Kent The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Louis XII has predecessor Charles Duke of Orl ans, Louis XII has father Charles Duke of Orl ans The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Anne Gonzaga, Anne Gonzaga has father Charles I Gonzaga Duke of Mantua The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Princess Magdalena Augusta of Anhalt Zerbst, Princess Magdalena Augusta of Anhalt Zerbst has father Charles Prince of Anhalt Zerbst The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Louis VIII of France has predecessor Philip II of France, Louis VIII of France has father Philip II of France The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Henry VI of England has predecessor Henry V of England, Henry VI of England has father Henry V of England The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Henry the Lion, Henry the Lion has father Henry X Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Edward King of Portugal, Edward King of Portugal has father John I of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Henry V of England, Henry V of England has father Henry IV of England The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Ferdinand I of the Two Sicilies, Ferdinand I of the Two Sicilies has father Charles III of Spain The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Emmanuel Philibert Duke of Savoy has predecessor Charles III Duke of Savoy, Emmanuel Philibert Duke of Savoy has father Charles III Duke of Savoy The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Sophia Eleonore of Saxony, Sophia Eleonore of Saxony has father John George I Elector of Saxony The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Afonso II of Portugal has predecessor Sancho I of Portugal, Afonso II of Portugal has father Sancho I of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Empress Matilda, Empress Matilda has father Henry I of England The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Peter I of Portugal has predecessor Afonso IV of Portugal, Peter I of Portugal has father Afonso IV of Portugal The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: yes
Margaret of Bavaria, Margaret of Bavaria has father Albert I Duke of Bavaria The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no
Marie of Brabant Queen of France, Marie of Brabant Queen of France has father Henry III Duke of Brabant The path is classified as NEGATIVE (PCA Confidence 0.4907 < threshold 0.5) Answer: no

Rule Statistics:
- PCA Confidence: 0.4907
- Rule Classification: NEGATIVE (PCA Confidence 0.4907 < threshold 0.5)
- Standard Confidence: 0.1889
- Head Coverage: 0.2961
