Rule 26:
If father ?a, then child ?b.
Peter I Count of Saint Pol, Jacquetta of Luxembourg has father Peter I Count of Saint Pol. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Alfonso II of Aragon has child Peter II of Aragon, Peter II of Aragon has father Alfonso II of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Charles VII of France has child Louis XI, Louis XI has father Charles VII of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Floris I Count of Holland has child Bertha of Holland, Bertha of Holland has father Floris I Count of Holland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Robert Duke of Bar, Violant of Bar has father Robert Duke of Bar. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Antoine Duke of Lorraine has child Francis I Duke of Lorraine, Francis I Duke of Lorraine has father Antoine Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Antoine Duke of Lorraine has child Nicolas Duke of Merc ur, Nicolas Duke of Merc ur has father Antoine Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis Jean Marie de Bourbon Duke of Penthi vre, Louise Marie Ad la de de Bourbon Duchess of Orl ans has father Louis Jean Marie de Bourbon Duke of Penthi vre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Louis VII of France, Philip II of France has father Louis VII of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Louis VII of France has child Alys of France Countess of Vexin, Alys of France Countess of Vexin has father Louis VII of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Sigismund Holy Roman Emperor, Elizabeth of Luxembourg has father Sigismund Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Frederick II Margrave of Meissen, Elisabeth of Meissen has father Frederick II Margrave of Meissen. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Baldwin V Count of Hainaut, Isabella of Hainault has father Baldwin V Count of Hainaut. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
John of Bohemia has child Bonne of Luxembourg, Bonne of Luxembourg has father John of Bohemia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
James I of Aragon has child Isabella of Aragon Queen of France, Isabella of Aragon Queen of France has father James I of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Robert III of Scotland, James I of Scotland has father Robert III of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Charles II Archduke of Austria, Margaret of Austria Queen of Spain has father Charles II Archduke of Austria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Charles V Holy Roman Emperor, Maria of Austria Holy Roman Empress has father Charles V Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Charles V Holy Roman Emperor, Philip II of Spain has father Charles V Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Odoardo Farnese Hereditary Prince of Parma, Elisabeth Farnese has father Odoardo Farnese Hereditary Prince of Parma. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Henry son of Robert I of Burgundy, Henry Count of Portugal has father Henry son of Robert I of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Henry son of Robert I of Burgundy, Odo I Duke of Burgundy has father Henry son of Robert I of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Gerard de Bouzonville, Gerard Duke of Lorraine has father Gerard de Bouzonville. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Vladislaus II of Hungary, Anne of Bohemia and Hungary has father Vladislaus II of Hungary. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Charles Martel has child Pepin the Short, Pepin the Short has father Charles Martel. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Alfonso IX of Le n has child Ferdinand III of Castile, Ferdinand III of Castile has father Alfonso IX of Le n. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Peter I Duke of Bourbon, Joanna of Bourbon has father Peter I Duke of Bourbon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Charles III Duke of Lorraine has child Francis II Duke of Lorraine, Francis II Duke of Lorraine has father Charles III Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Ernest Augustus Elector of Hanover has child George I of Great Britain, George I of Great Britain has father Ernest Augustus Elector of Hanover. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Robert Count of Clermont has child Louis I Duke of Bourbon, Louis I Duke of Bourbon has father Robert Count of Clermont. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
William IX Duke of Aquitaine, William X Duke of Aquitaine has father William IX Duke of Aquitaine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Antoine of Navarre, Henry IV of France has father Antoine of Navarre. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Richard Woodville 1st Earl Rivers, Elizabeth Woodville has father Richard Woodville 1st Earl Rivers. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Albert V Duke of Bavaria, Maria Anna of Bavaria born 1551 has father Albert V Duke of Bavaria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Peter I Duke of Brittany has child John I Duke of Brittany, John I Duke of Brittany has father Peter I Duke of Brittany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Gaston de Foix Count of Candale, Anne of Foix Candale has father Gaston de Foix Count of Candale. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Philip William Elector Palatine, Countess Palatine Dorothea Sophie of Neuburg has father Philip William Elector Palatine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Ernest I Duke of Brunswic L neburg, William the Younger Duke of Brunswic L neburg has father Ernest I Duke of Brunswic L neburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Joseph I Holy Roman Emperor, Maria Josepha of Austria has father Joseph I Holy Roman Emperor. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Ferdinand II of Aragon has child Maria of Aragon Queen of Portugal, Maria of Aragon Queen of Portugal has father Ferdinand II of Aragon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Leopold Duke of Lorraine has child Francis I Holy Roman Emperor, Francis I Holy Roman Emperor has father Leopold Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Adolphus Frederick I Duke of Mecklenburg Schwerin, Adolphus Frederick II Duke of Mecklenburg Strelitz has father Adolphus Frederick I Duke of Mecklenburg Schwerin. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Adolphus Frederick I Duke of Mecklenburg Schwerin, Anna Maria of Mecklenburg Schwerin has father Adolphus Frederick I Duke of Mecklenburg Schwerin. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Louis II Duke of Bavaria, Louis IV Holy Roman Emperor has father Louis II Duke of Bavaria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
William X Duke of Aquitaine, Eleanor of Aquitaine has father William X Duke of Aquitaine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Ferdinand Philippe Duke of Orl ans has child Prince Philippe Count of Paris, Prince Philippe Count of Paris has father Ferdinand Philippe Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis I of Anjou has child Louis II of Anjou, Louis II of Anjou has father Louis I of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Casimir IV Jagiellon, Barbara Jagiellon has father Casimir IV Jagiellon. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Adolph I Duke of Cleves, Marie of Cleves Duchess of Orl ans has father Adolph I Duke of Cleves. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Francesco I de Medici Grand Duke of Tuscany has child Marie de Medici, Marie de Medici has father Francesco I de Medici Grand Duke of Tuscany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis II of Anjou has child Marie of Anjou, Marie of Anjou has father Louis II of Anjou. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Philip the Bold, John the Fearless has father Philip the Bold. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Boso Margrave of Tuscany, Willa of Tuscany has father Boso Margrave of Tuscany. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Rudolph II of Burgundy has child Conrad I of Burgundy, Conrad I of Burgundy has father Rudolph II of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Adolphus Frederick II Duke of Mecklenburg Strelitz has child Duke Charles Louis Frederick of Mecklenburg, Duke Charles Louis Frederick of Mecklenburg has father Adolphus Frederick II Duke of Mecklenburg Strelitz. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Hugh of Italy has child Lothair II of Italy, Lothair II of Italy has father Hugh of Italy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
John King of England has child Henry III of England, Henry III of England has father John King of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Charles II Duke of Lorraine, Isabella Duchess of Lorraine has father Charles II Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Dirk I Count of Holland has child Dirk II Count of Holland, Dirk II Count of Holland has father Dirk I Count of Holland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Victor Emmanuel I of Sardinia, Maria Beatrice of Savoy has father Victor Emmanuel I of Sardinia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Alfred the Great has child Edward the Elder, Edward the Elder has father Alfred the Great. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Geoffrey II Count of G tinais, Fulk IV Count of Anjou has father Geoffrey II Count of G tinais. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Louis Bonaparte has child Napoleon III, Napoleon III has father Louis Bonaparte. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Albert IV Count of Habsburg, Rudolf I of Germany has father Albert IV Count of Habsburg. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Francis II Duke of Lorraine has child Nicholas Francis Duke of Lorraine, Nicholas Francis Duke of Lorraine has father Francis II Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Henry II of Castile, John I of Castile has father Henry II of Castile. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Hugh II Duke of Burgundy has child Odo II Duke of Burgundy, Odo II Duke of Burgundy has father Hugh II Duke of Burgundy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Henry III of England has child Edward I of England, Edward I of England has father Henry III of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Charles V Duke of Lorraine, Leopold Duke of Lorraine has father Charles V Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Berthold Duke of Merania, Agnes of Merania has father Berthold Duke of Merania. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Edward I of England, Edward II of England has father Edward I of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Louis IV of France, Lothair of France has father Louis IV of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Louis IV of France has child Matilda of France, Matilda of France has father Louis IV of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Ferdinand I of the Two Sicilies, Maria Theresa of Naples and Sicily has father Ferdinand I of the Two Sicilies. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Charles Emmanuel III of Sardinia has child Victor Amadeus III of Sardinia, Victor Amadeus III of Sardinia has father Charles Emmanuel III of Sardinia. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Hugh Capet, Robert II of France has father Hugh Capet. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Philip the Good, Charles the Bold has father Philip the Good. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
James II of Scotland, James III of Scotland has father James II of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Bartholomew de L Isle Bouchard, Dangereuse de l Isle Bouchard has father Bartholomew de L Isle Bouchard. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Louis the Pious has child Louis the German, Louis the German has father Louis the Pious. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis the Pious has child Charles the Bald, Charles the Bald has father Louis the Pious. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
George I of Great Britain has child George II of Great Britain, George II of Great Britain has father George I of Great Britain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Louis XII has child Claude of France, Claude of France has father Louis XII. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
 thelwulf King of Wessex has child Alfred the Great, Alfred the Great has father  thelwulf King of Wessex. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Robert I Count of Dreux, Robert II Count of Dreux has father Robert I Count of Dreux. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Malcolm III of Scotland, Matilda of Scotland has father Malcolm III of Scotland. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Ercole III d Este Duke of Modena, Maria Beatrice d Este Duchess of Massa has father Ercole III d Este Duke of Modena. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
George Duke of Saxony, Christine of Saxony has father George Duke of Saxony. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Matthias II Duke of Lorraine has child Frederick III Duke of Lorraine, Frederick III Duke of Lorraine has father Matthias II Duke of Lorraine. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Ealhmund of Kent, Ecgberht King of Wessex has father Ealhmund of Kent. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Charles Duke of Orl ans has child Louis XII, Louis XII has father Charles Duke of Orl ans. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Charles I Gonzaga Duke of Mantua, Anne Gonzaga has father Charles I Gonzaga Duke of Mantua. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Charles Prince of Anhalt Zerbst, Princess Magdalena Augusta of Anhalt Zerbst has father Charles Prince of Anhalt Zerbst. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Philip II of France has child Louis VIII of France, Louis VIII of France has father Philip II of France. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Henry V of England has child Henry VI of England, Henry VI of England has father Henry V of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Henry X Duke of Bavaria, Henry the Lion has father Henry X Duke of Bavaria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
John I of Portugal has child Edward King of Portugal, Edward King of Portugal has father John I of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Henry IV of England, Henry V of England has father Henry IV of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Charles III of Spain, Ferdinand I of the Two Sicilies has father Charles III of Spain. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Charles III Duke of Savoy has child Emmanuel Philibert Duke of Savoy, Emmanuel Philibert Duke of Savoy has father Charles III Duke of Savoy. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
John George I Elector of Saxony, Sophia Eleonore of Saxony has father John George I Elector of Saxony. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Sancho I of Portugal has child Afonso II of Portugal, Afonso II of Portugal has father Sancho I of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Henry I of England, Empress Matilda has father Henry I of England. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Afonso IV of Portugal has child Peter I of Portugal, Peter I of Portugal has father Afonso IV of Portugal. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: yes
Albert I Duke of Bavaria, Margaret of Bavaria has father Albert I Duke of Bavaria. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no
Henry III Duke of Brabant, Marie of Brabant Queen of France has father Henry III Duke of Brabant. [VALID] The path is classified as POSITIVE (PCA Confidence 0.7184 >= threshold 0.5) Answer: no

Rule Statistics:
- PCA Confidence: 0.7184
- Rule Classification: POSITIVE (PCA Confidence 0.7184 >= threshold 0.5)
- Standard Confidence: 0.3547
- Head Coverage: 0.1320
