Rule 7:
If child ?a, then predecessor ?b.
John Henry Margrave of Moravia, John of Bohemia has child John Henry Margrave of Moravia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louise  lisabeth of France, Louis XV has child Louise  lisabeth of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Vittorio Amedeo Teodoro Duke of Aosta, Charles Emmanuel III of Sardinia has child Prince Vittorio Amedeo Teodoro Duke of Aosta. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis Duke of Orl ans 1703 1752, Fran oise Marie de Bourbon has child Louis Duke of Orl ans 1703 1752. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis Duke of Orl ans 1703 1752 has predecessor Philippe II Duke of Orl ans, Philippe II Duke of Orl ans has child Louis Duke of Orl ans 1703 1752. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Johann Wilhelm Elector Palatine, Landgravine Elisabeth Amalie of Hesse Darmstadt has child Johann Wilhelm Elector Palatine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
William I Duke of Bavaria, Louis IV Holy Roman Emperor has child William I Duke of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Francis Count of Enghien, Charles Duke of Vend me has child Francis Count of Enghien. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John III Burgrave of Nuremberg, Elisabeth of Meissen has child John III Burgrave of Nuremberg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles II of Navarre, Philip III of Navarre has child Charles II of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Cecily of York, Elizabeth Woodville has child Cecily of York. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Philip I of Castile, Maximilian I Holy Roman Emperor has child Philip I of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Hedwig of France Countess of Mons, Adelaide of Aquitaine has child Hedwig of France Countess of Mons. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
George I of Great Britain, Ernest Augustus Elector of Hanover has child George I of Great Britain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis III of Anjou, Yolande of Aragon has child Louis III of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduke Rainer Joseph of Austria, Leopold II Holy Roman Emperor has child Archduke Rainer Joseph of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduke Rainer Joseph of Austria, Maria Luisa of Spain has child Archduke Rainer Joseph of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Joan of England Queen of Scotland, John King of England has child Joan of England Queen of Scotland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Margaret Marchioness of Namur, Yolanda Latin Empress has child Margaret Marchioness of Namur. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Gian Galeazzo Sforza, Bona of Savoy has child Gian Galeazzo Sforza. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Anne of Burgundy, Margaret of Bavaria has child Anne of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Infante Philip Duke of Calabria, Maria Amalia of Saxony has child Infante Philip Duke of Calabria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis I of Anjou, Bonne of Luxembourg has child Louis I of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Elisa Bonaparte, Letizia Bonaparte has child Elisa Bonaparte. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Boris and Gleb, Vladimir the Great has child Boris and Gleb. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Ferdinand Count of Flanders, Sancho I of Portugal has child Ferdinand Count of Flanders. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John Woodville, Jacquetta of Luxembourg has child John Woodville. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Marie of Valois Prioress of Poissy, Charles VI of France has child Marie of Valois Prioress of Poissy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Matilda of England Duchess of Saxony, Eleanor of Aquitaine has child Matilda of England Duchess of Saxony. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduchess Magdalena of Austria, Ferdinand I Holy Roman Emperor has child Archduchess Magdalena of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Rudolf II Duke of Austria, Rudolf I of Germany has child Rudolf II Duke of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Rudolf II Duke of Austria, Gertrude of Hohenberg has child Rudolf II Duke of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Ren e of France, Louis XII has child Ren e of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Ren e of France, Anne of Brittany has child Ren e of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Denis Lord of Cifuentes, Peter I of Portugal has child Denis Lord of Cifuentes. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Princess Augusta Sophia of the United Kingdom, George III has child Princess Augusta Sophia of the United Kingdom. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Elizabeth Stuart daughter of Charles I, Henrietta Maria has child Elizabeth Stuart daughter of Charles I. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Edmund Tudor Duke of Somerset, Elizabeth of York has child Edmund Tudor Duke of Somerset. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Edmund Tudor Duke of Somerset, Henry VII of England has child Edmund Tudor Duke of Somerset. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduchess Maria Clementina of Austria, Maria Luisa of Spain has child Archduchess Maria Clementina of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Anne of Austria Margravine of Brandenburg, Albert I of Germany has child Anne of Austria Margravine of Brandenburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Sudislav, Vladimir the Great has child Sudislav. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Francis Hyacinth Duke of Savoy has predecessor Victor Amadeus I Duke of Savoy, Victor Amadeus I Duke of Savoy has child Francis Hyacinth Duke of Savoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
John IV Duke of Brittany has predecessor John of Montfort, John of Montfort has child John IV Duke of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Geoffrey II Duke of Brittany, Eleanor of Aquitaine has child Geoffrey II Duke of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Geoffrey II Duke of Brittany, Henry II of England has child Geoffrey II Duke of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Duchess Sophie of Prussia, Marie Eleonore of Cleves has child Duchess Sophie of Prussia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Charles Alexander of Lorraine, Leopold Duke of Lorraine has child Prince Charles Alexander of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Catherine of Hungary Queen of Serbia, Elizabeth the Cuman has child Catherine of Hungary Queen of Serbia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduchess Eleanor of Austria, Ferdinand I Holy Roman Emperor has child Archduchess Eleanor of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis I Duke of Bourbon, Robert Count of Clermont has child Louis I Duke of Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Henry III of France, Catherine de Medici has child Henry III of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Henry III of France, Henry II of France has child Henry III of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Frederick of Great Britain, Princess Augusta of Saxe Gotha has child Prince Frederick of Great Britain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Eleanor of Aragon Countess of Toulouse, Alfonso II of Aragon has child Eleanor of Aragon Countess of Toulouse. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John Stewart Earl of Mar died 1479, James II of Scotland has child John Stewart Earl of Mar died 1479. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Francis III Duke of Brittany, Francis I of France has child Francis III Duke of Brittany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduke Louis of Austria, Maria Luisa of Spain has child Archduke Louis of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis Duke of Burgundy 1751 1761, Louis Dauphin of France son of Louis XV has child Louis Duke of Burgundy 1751 1761. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis Duke of Burgundy 1751 1761, Maria Josepha of Saxony Dauphine of France has child Louis Duke of Burgundy 1751 1761. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Nicolaus of Luxemburg, John of Bohemia has child Nicolaus of Luxemburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Princess Caroline of Hesse Darmstadt, Countess Palatine Caroline of Zweibr cken has child Princess Caroline of Hesse Darmstadt. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Mary of Hungary governor of the Netherlands, Joanna of Castile has child Mary of Hungary governor of the Netherlands. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Mary of Hungary governor of the Netherlands, Philip I of Castile has child Mary of Hungary governor of the Netherlands. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Sophie of France 1734 1782, Louis XV has child Sophie of France 1734 1782. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John II Duke of Bourbon, Agnes of Burgundy Duchess of Bourbon has child John II Duke of Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Joan of Valois Queen of Navarre, Bonne of Luxembourg has child Joan of Valois Queen of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Joan of Valois Queen of Navarre, John II of France has child Joan of Valois Queen of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Raymond Berengar of Andria, Mary of Hungary Queen of Naples has child Raymond Berengar of Andria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis the German has predecessor Louis the Pious, Louis the Pious has child Louis the German. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
John III of Portugal, Maria of Aragon Queen of Portugal has child John III of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Philip V of Spain, Louis Dauphin of France son of Louis XIV has child Philip V of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Elisabeth of Austria Duchess of Lorraine, Albert I of Germany has child Elisabeth of Austria Duchess of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Theresa of Portugal Queen of Le n, Sancho I of Portugal has child Theresa of Portugal Queen of Le n. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles d Orl ans Duke of Penthi vre, Maria Amalia of Naples and Sicily has child Charles d Orl ans Duke of Penthi vre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Edward Duke of York and Albany, Princess Augusta of Saxe Gotha has child Prince Edward Duke of York and Albany. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Margaret Theresa of Spain, Philip IV of Spain has child Margaret Theresa of Spain. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Marie Louise Duchess of Parma, Maria Theresa of Naples and Sicily has child Marie Louise Duchess of Parma. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Marie Louise Duchess of Parma, Francis II Holy Roman Emperor has child Marie Louise Duchess of Parma. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Otto Duke of Burgundy, Hedwig of Saxony has child Otto Duke of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Edward V of England, Elizabeth Woodville has child Edward V of England. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
David I of Scotland, Saint Margaret of Scotland has child David I of Scotland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Isabella of Aragon Queen of France, James I of Aragon has child Isabella of Aragon Queen of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Isabella of Aragon Queen of France, Violant of Hungary has child Isabella of Aragon Queen of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Marie of Prussia Margravine of Brandenburg Bayreuth, Marie Eleonore of Cleves has child Marie of Prussia Margravine of Brandenburg Bayreuth. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Henry Beaufort, John of Gaunt has child Henry Beaufort. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Margaret of Savoy Vicereine of Portugal, Charles Emmanuel I Duke of Savoy has child Margaret of Savoy Vicereine of Portugal. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John of Foix Viscount of Narbonne, Eleanor of Navarre has child John of Foix Viscount of Narbonne. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Ferdinand Duke of Viseu, Edward King of Portugal has child Ferdinand Duke of Viseu. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Ferdinand Duke of Viseu, Eleanor of Aragon Queen of Portugal has child Ferdinand Duke of Viseu. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Vladimir the Great has predecessor Sviatoslav I, Sviatoslav I has child Vladimir the Great. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Margaret I Countess of Burgundy, Joan II Countess of Burgundy has child Margaret I Countess of Burgundy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Otto III Duke of Bavaria, Rudolf I of Germany has child Otto III Duke of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Ferdinand II of Aragon has predecessor John II of Aragon, John II of Aragon has child Ferdinand II of Aragon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Louise Marie Anne de Bourbon, Louis XIV has child Louise Marie Anne de Bourbon. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Lionel Woodville, Jacquetta of Luxembourg has child Lionel Woodville. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Theobald II of Navarre, Theobald I of Navarre has child Theobald II of Navarre. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria Clotilde of Naples and Sicily, Ferdinand I of the Two Sicilies has child Maria Clotilde of Naples and Sicily. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
John Count of Soissons and Enghien, Charles Duke of Vend me has child John Count of Soissons and Enghien. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Ferdinand I of the Two Sicilies, Maria Amalia of Saxony has child Ferdinand I of the Two Sicilies. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Louis Duke of Nemours, Maria Amalia of Naples and Sicily has child Prince Louis Duke of Nemours. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
William V Duke of Bavaria, Archduchess Anna of Austria has child William V Duke of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Charles Martel of Anjou, Mary of Hungary Queen of Naples has child Charles Martel of Anjou. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Joan of Valois Duchess of Alen on, Charles Duke of Orl ans has child Joan of Valois Duchess of Alen on. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Nicholas Francis Duke of Lorraine, Francis II Duke of Lorraine has child Nicholas Francis Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince William Henry Duke of Gloucester and Edinburgh, Frederick Prince of Wales has child Prince William Henry Duke of Gloucester and Edinburgh. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Ferdinand the Holy Prince, John I of Portugal has child Ferdinand the Holy Prince. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Otto V Duke of Bavaria, Louis IV Holy Roman Emperor has child Otto V Duke of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Thomas Francis Prince of Carignano, Charles Emmanuel I Duke of Savoy has child Thomas Francis Prince of Carignano. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Francis I Duke of Lorraine has predecessor Antoine Duke of Lorraine, Antoine Duke of Lorraine has child Francis I Duke of Lorraine. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Maria Theresa, Elisabeth Christine of Brunswic Wolfenb ttel has child Maria Theresa. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Carlo Francesco Duke of Aosta, Charles Emmanuel III of Sardinia has child Prince Carlo Francesco Duke of Aosta. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Ethelred of Scotland, Saint Margaret of Scotland has child Ethelred of Scotland. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Ferdinand II of Le n has predecessor Alfonso VII of Le n and Castile, Alfonso VII of Le n and Castile has child Ferdinand II of Le n. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: yes
Margaret of the Palatinate, Elisabeth of Nuremberg has child Margaret of the Palatinate. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
David Stewart Earl of Moray, James II of Scotland has child David Stewart Earl of Moray. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Rothilde, Charles the Bald has child Rothilde. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Joan the Lame, Robert II Duke of Burgundy has child Joan the Lame. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
 thelbald King of Wessex,  thelwulf King of Wessex has child  thelbald King of Wessex. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Infanta Luisa Fernanda Duchess of Montpensier, Maria Christina of the Two Sicilies has child Infanta Luisa Fernanda Duchess of Montpensier. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Archduchess Marie Caroline of Austria, Maria Theresa of Naples and Sicily has child Archduchess Marie Caroline of Austria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis of Cyprus, Anne of Cyprus has child Louis of Cyprus. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis of Cyprus, Louis Duke of Savoy has child Louis of Cyprus. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Clotilde of France, Louis Dauphin of France son of Louis XV has child Clotilde of France. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria Amalia Holy Roman Empress, Wilhelmine Amalie of Brunswick has child Maria Amalia Holy Roman Empress. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Margaret of France Queen of England and Hungary, Constance of Castile has child Margaret of France Queen of England and Hungary. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Isabella of Valois, Charles VI of France has child Isabella of Valois. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Richard Woodville 3rd Earl Rivers, Jacquetta of Luxembourg has child Richard Woodville 3rd Earl Rivers. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Elisabeth of France 1602 1644, Marie de Medici has child Elisabeth of France 1602 1644. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Violant of Bar, Marie of France Duchess of Bar has child Violant of Bar. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Henry II of Castile, Alfonso XI of Castile has child Henry II of Castile. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Lucrezia de Medici Duchess of Ferrara, Cosimo I de Medici Grand Duke of Tuscany has child Lucrezia de Medici Duchess of Ferrara. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
William II Count of Hainaut, Joan of Valois Countess of Hainaut has child William II Count of Hainaut. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Sophia of Minsk, Richeza of Poland Queen of Sweden has child Sophia of Minsk. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Margaret of Bavaria, Margaret of Brieg has child Margaret of Bavaria. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
William IV Landgrave of Hesse Kassel, Christine of Saxony has child William IV Landgrave of Hesse Kassel. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis XVI, Louis Dauphin of France son of Louis XV has child Louis XVI. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis XVI, Maria Josepha of Saxony Dauphine of France has child Louis XVI. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Edgar  theling, Agatha wife of Edward the Exile has child Edgar  theling. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Louis IV Landgrave of Hesse Marburg, Christine of Saxony has child Louis IV Landgrave of Hesse Marburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Richard FitzRoy, John King of England has child Richard FitzRoy. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Elizabeth of Hungary Queen of Serbia, Elizabeth the Cuman has child Elizabeth of Hungary Queen of Serbia. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Richard Count of  tampes, John IV Duke of Brittany has child Richard Count of  tampes. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Duchess Gustave Caroline of Mecklenburg Strelitz, Adolphus Frederick II Duke of Mecklenburg Strelitz has child Duchess Gustave Caroline of Mecklenburg Strelitz. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Gerberga of Saxony, Henry the Fowler has child Gerberga of Saxony. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Henry VII Holy Roman Emperor, Henry VI Count of Luxembourg has child Henry VII Holy Roman Emperor. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Philip Duke of Parma, Elisabeth Farnese has child Philip Duke of Parma. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Frederick I Elector of Brandenburg, Elisabeth of Meissen has child Frederick I Elector of Brandenburg. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Princess Sophia of the United Kingdom, Charlotte of Mecklenburg Strelitz has child Princess Sophia of the United Kingdom. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Princess Sophia of the United Kingdom, George III has child Princess Sophia of the United Kingdom. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Fernando Lord of Serpa, Afonso II of Portugal has child Fernando Lord of Serpa. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Maria of Portugal Marchioness of Tortosa, Peter I of Portugal has child Maria of Portugal Marchioness of Tortosa. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Grifo noble, Charles Martel has child Grifo noble. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Prince Edward Duke of Kent and Strathearn, Charlotte of Mecklenburg Strelitz has child Prince Edward Duke of Kent and Strathearn. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
Anastasia of Kiev, Ingegerd Olofsdotter of Sweden has child Anastasia of Kiev. [VALID] The path is classified as NEGATIVE (PCA Confidence 0.1904 < threshold 0.5) Answer: no
